                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4509,                  1.225,                 1.4071,                0.76102,                0.53465,                0.60865,                0.27229,                  1.911,                 1.4748,                 1.8018,              0.0012479,              0.0012479,              0.0012479
                     34,                 1.4388,                 1.1996,                 1.3901,                0.67666,                0.57836,                0.60928,                0.27994,                 1.8474,                  1.413,                  1.754,              0.0012423,              0.0012423,              0.0012423
                     35,                 1.4185,                 1.1731,                 1.3784,                 0.6874,                0.58301,                0.61251,                0.28504,                 1.8683,                 1.3867,                  1.707,              0.0012366,              0.0012366,              0.0012366
                     36,                 1.4427,                 1.2174,                 1.3968,                0.70291,                0.57188,                0.61179,                0.28767,                 1.8531,                 1.3408,                 1.7207,              0.0012309,              0.0012309,              0.0012309
                     37,                 1.4168,                  1.174,                 1.3729,                0.69185,                0.56497,                0.60924,                0.28669,                 1.8273,                 1.3722,                 1.7174,              0.0012253,              0.0012253,              0.0012253
                     38,                 1.4279,                 1.1917,                 1.3876,                0.73531,                0.54864,                0.61325,                0.28359,                 1.8248,                 1.4347,                 1.7201,              0.0012196,              0.0012196,              0.0012196
                     39,                 1.4144,                 1.1814,                 1.3752,                0.69139,                0.53607,                0.58174,                0.26409,                 1.9136,                 1.5082,                 1.8069,               0.001214,               0.001214,               0.001214
                     40,                 1.4257,                 1.1732,                 1.3706,                 0.7556,                0.55349,                0.62929,                0.29614,                 1.7846,                  1.365,                 1.6627,              0.0012083,              0.0012083,              0.0012083
                     41,                 1.4171,                 1.1605,                 1.3655,                 0.6824,                0.61783,                0.64147,                0.29956,                 1.7813,                 1.3054,                 1.6795,              0.0012026,              0.0012026,              0.0012026
                     42,                 1.4186,                 1.1659,                 1.3701,                0.69506,                0.57285,                0.62897,                0.29456,                  1.846,                 1.3876,                 1.7202,               0.001197,               0.001197,               0.001197
                     43,                 1.3935,                 1.1223,                 1.3645,                0.75031,                0.58131,                0.64979,                0.29775,                 1.8217,                 1.2918,                 1.7079,              0.0011913,              0.0011913,              0.0011913
                     44,                 1.3976,                 1.1263,                  1.364,                0.70906,                0.56466,                0.62087,                0.28454,                 1.8263,                  1.336,                 1.7435,              0.0011857,              0.0011857,              0.0011857
                     45,                  1.387,                 1.1051,                 1.3497,                0.71069,                0.59426,                0.64176,                0.30639,                 1.7826,                 1.2774,                 1.6575,                0.00118,                0.00118,                0.00118
                     46,                 1.3721,                 1.1139,                 1.3591,                0.71171,                0.59661,                0.66675,                0.32204,                 1.7631,                  1.309,                 1.6655,              0.0011744,              0.0011744,              0.0011744
                     47,                 1.3818,                  1.116,                 1.3505,                0.79767,                0.53172,                0.66042,                0.30242,                 1.7702,                 1.3049,                 1.6698,              0.0011687,              0.0011687,              0.0011687
                     48,                 1.3862,                 1.0965,                 1.3456,                0.76085,                0.61341,                0.69549,                0.32096,                  1.793,                 1.2223,                 1.6773,               0.001163,               0.001163,               0.001163
                     49,                 1.3826,                 1.0918,                 1.3472,                0.66293,                0.58384,                0.63111,                 0.2948,                 1.8583,                 1.3799,                 1.7238,              0.0011574,              0.0011574,              0.0011574
                     50,                 1.3808,                 1.0955,                 1.3494,                0.73566,                0.58545,                0.65685,                0.31033,                 1.8376,                  1.305,                 1.6947,              0.0011517,              0.0011517,              0.0011517
                     51,                 1.3606,                 1.0941,                 1.3308,                0.72186,                0.60388,                0.66663,                0.31868,                 1.8041,                 1.3607,                 1.6679,              0.0011461,              0.0011461,              0.0011461
                     52,                  1.359,                  1.057,                 1.3378,                0.79755,                0.53601,                0.65443,                0.31031,                 1.7691,                 1.2902,                 1.6696,              0.0011404,              0.0011404,              0.0011404
